Windows System Service Dispatch Table (SSDT)
KernelBase: 0xFFFFF804A9800000

=== KeServiceDescriptorTable ===
  RVA: 0x12018C0  PhysicalAddr: 0xFFFFF804AAA018C0
┌─────┬───────────────────────────────────────────────────────┬───────┬────────────────────┐
│ Id  │                         Name                          │ Index │    PhysicalAddr    │
│ 113 │ NtAlertThread                                         │ 0x70  │ 0xFFFFF804A9800000 │
│ 114 │ NtAlertThreadByThreadId                               │ 0x71  │ 0xFFFFF804A9800000 │
│ 115 │ NtAlertThreadByThreadIdEx                             │ 0x72  │ 0xFFFFF804A9800000 │
│ 116 │ NtAllocateLocallyUniqueId                             │ 0x73  │ 0xFFFFF804A9800000 │
│ 117 │ NtAllocateReserveObject                               │ 0x74  │ 0xFFFFF804A9800000 │
│ 118 │ NtAllocateUserPhysicalPages                           │ 0x75  │ 0xFFFFF804A9800000 │
│ 119 │ NtAllocateUserPhysicalPagesEx                         │ 0x76  │ 0xFFFFF804A9800000 │
│ 120 │ NtAllocateUuids                                       │ 0x77  │ 0xFFFFF804A9800000 │
│ 121 │ NtAllocateVirtualMemoryEx                             │ 0x78  │ 0xFFFFF804A9800000 │
│ 122 │ NtAlpcAcceptConnectPort                               │ 0x79  │ 0xFFFFF804A9800000 │
│ 123 │ NtAlpcCancelMessage                                   │ 0x7A  │ 0xFFFFF804A9800000 │
│ 124 │ NtAlpcConnectPort                                     │ 0x7B  │ 0xFFFFF804A9800000 │
│ 125 │ NtAlpcConnectPortEx                                   │ 0x7C  │ 0xFFFFF804A9800000 │
│ 126 │ NtAlpcCreatePort                                      │ 0x7D  │ 0xFFFFF804A9800000 │
│ 127 │ NtAlpcCreatePortSection                               │ 0x7E  │ 0xFFFFF804A9800000 │
│ 128 │ NtAlpcCreateResourceReserve                           │ 0x7F  │ 0xFFFFF804A9800000 │
│ 129 │ NtAlpcCreateSectionView                               │ 0x80  │ 0xFFFFF804A9800000 │
│ 130 │ NtAlpcCreateSecurityContext                           │ 0x81  │ 0xFFFFF804A9800000 │
│ 131 │ NtAlpcDeletePortSection                               │ 0x82  │ 0xFFFFF804A9800000 │
│ 132 │ NtAlpcDeleteResourceReserve                           │ 0x83  │ 0xFFFFF804A9800000 │
│ 133 │ NtAlpcDeleteSectionView                               │ 0x84  │ 0xFFFFF804A9800000 │
│ 134 │ NtAlpcDeleteSecurityContext                           │ 0x85  │ 0xFFFFF804A9800000 │
│ 135 │ NtAlpcDisconnectPort                                  │ 0x86  │ 0xFFFFF804A9800000 │
│ 136 │ NtAlpcImpersonateClientContainerOfPort                │ 0x87  │ 0xFFFFF804A9800000 │
│ 137 │ NtAlpcImpersonateClientOfPort                         │ 0x88  │ 0xFFFFF804A9800000 │
│ 138 │ NtAlpcOpenSenderProcess                               │ 0x89  │ 0xFFFFF804A9800000 │
│ 139 │ NtAlpcOpenSenderThread                                │ 0x8A  │ 0xFFFFF804A9800000 │
│ 140 │ NtAlpcQueryInformation                                │ 0x8B  │ 0xFFFFF804A9800000 │
│ 141 │ NtAlpcQueryInformationMessage                         │ 0x8C  │ 0xFFFFF804A9800000 │
│ 142 │ NtAlpcRevokeSecurityContext                           │ 0x8D  │ 0xFFFFF804A9800000 │
│ 143 │ NtAlpcSendWaitReceivePort                             │ 0x8E  │ 0xFFFFF804A9800000 │
│ 144 │ NtAlpcSetInformation                                  │ 0x8F  │ 0xFFFFF804A9800000 │
│ 145 │ NtAreMappedFilesTheSame                               │ 0x90  │ 0xFFFFF804A9800000 │
│ 146 │ NtAssignProcessToJobObject                            │ 0x91  │ 0xFFFFF804A9800000 │
│ 147 │ NtAssociateWaitCompletionPacket                       │ 0x92  │ 0xFFFFF804A9800000 │
│ 148 │ NtCallEnclave                                         │ 0x93  │ 0xFFFFF804A9800000 │
│ 149 │ NtCancelIoFileEx                                      │ 0x94  │ 0xFFFFF804A9800000 │
│ 150 │ NtCancelSynchronousIoFile                             │ 0x95  │ 0xFFFFF804A9800000 │
│ 151 │ NtCancelTimer2                                        │ 0x96  │ 0xFFFFF804A9800000 │
│ 152 │ NtCancelWaitCompletionPacket                          │ 0x97  │ 0xFFFFF804A9800000 │
│ 153 │ NtChangeProcessState                                  │ 0x98  │ 0xFFFFF804A9800000 │
│ 154 │ NtChangeThreadState                                   │ 0x99  │ 0xFFFFF804A9800000 │
│ 155 │ NtCommitComplete                                      │ 0x9A  │ 0xFFFFF804A9800000 │
│ 156 │ NtCommitEnlistment                                    │ 0x9B  │ 0xFFFFF804A9800000 │
│ 157 │ NtCommitRegistryTransaction                           │ 0x9C  │ 0xFFFFF804A9800000 │
│ 158 │ NtCommitTransaction                                   │ 0x9D  │ 0xFFFFF804A9800000 │
│ 159 │ NtCompactKeys                                         │ 0x9E  │ 0xFFFFF804A9800000 │
│ 160 │ NtCompareObjects                                      │ 0x9F  │ 0xFFFFF804A9800000 │
│ 161 │ NtCompareSigningLevels                                │ 0xA0  │ 0xFFFFF804A9800000 │
│ 162 │ NtCompareTokens                                       │ 0xA1  │ 0xFFFFF804A9800000 │
│ 163 │ NtCompleteConnectPort                                 │ 0xA2  │ 0xFFFFF804A9800000 │
│ 164 │ NtCompressKey                                         │ 0xA3  │ 0xFFFFF804A9800000 │
│ 165 │ NtConnectPort                                         │ 0xA4  │ 0xFFFFF804A9800000 │
│ 166 │ NtContinueEx                                          │ 0xA5  │ 0xFFFFF804A9800000 │
│ 167 │ NtConvertBetweenAuxiliaryCounterAndPerformanceCounter │ 0xA6  │ 0xFFFFF804A9800000 │
│ 168 │ NtCopyFileChunk                                       │ 0xA7  │ 0xFFFFF804A9800000 │
│ 169 │ NtCreateCpuPartition                                  │ 0xA8  │ 0xFFFFF804A9800000 │
│ 170 │ NtCreateCrossVmEvent                                  │ 0xA9  │ 0xFFFFF804A9800000 │
│ 171 │ NtCreateCrossVmMutant                                 │ 0xAA  │ 0xFFFFF804A9800000 │
│ 172 │ NtCreateDebugObject                                   │ 0xAB  │ 0xFFFFF804A9800000 │
│ 173 │ NtCreateDirectoryObject                               │ 0xAC  │ 0xFFFFF804A9800000 │
│ 174 │ NtCreateDirectoryObjectEx                             │ 0xAD  │ 0xFFFFF804A9800000 │
│ 175 │ NtCreateEnclave                                       │ 0xAE  │ 0xFFFFF804A9800000 │
│ 176 │ NtCreateEnlistment                                    │ 0xAF  │ 0xFFFFF804A9800000 │
│ 177 │ NtCreateEventPair                                     │ 0xB0  │ 0xFFFFF804A9800000 │
│ 178 │ NtCreateIRTimer                                       │ 0xB1  │ 0xFFFFF804A9800000 │
│ 179 │ NtCreateIoCompletion                                  │ 0xB2  │ 0xFFFFF804A9800000 │
│ 180 │ NtCreateIoRing                                        │ 0xB3  │ 0xFFFFF804A9800000 │
│ 181 │ NtCreateJobObject                                     │ 0xB4  │ 0xFFFFF804A9800000 │
│ 182 │ NtCreateJobSet                                        │ 0xB5  │ 0xFFFFF804A9800000 │
│ 183 │ NtCreateKeyTransacted                                 │ 0xB6  │ 0xFFFFF804A9800000 │
│ 184 │ NtCreateKeyedEvent                                    │ 0xB7  │ 0xFFFFF804A9800000 │
│ 185 │ NtCreateLowBoxToken                                   │ 0xB8  │ 0xFFFFF804A9800000 │
│ 186 │ NtCreateMailslotFile                                  │ 0xB9  │ 0xFFFFF804A9800000 │
│ 187 │ NtCreateMutant                                        │ 0xBA  │ 0xFFFFF804A9800000 │
│ 188 │ NtCreateNamedPipeFile                                 │ 0xBB  │ 0xFFFFF804A9800000 │
│ 189 │ NtCreatePagingFile                                    │ 0xBC  │ 0xFFFFF804A9800000 │
│ 190 │ NtCreatePartition                                     │ 0xBD  │ 0xFFFFF804A9800000 │
│ 191 │ NtCreatePort                                          │ 0xBE  │ 0xFFFFF804A9800000 │
│ 192 │ NtCreatePrivateNamespace                              │ 0xBF  │ 0xFFFFF804A9800000 │
│ 193 │ NtCreateProcess                                       │ 0xC0  │ 0xFFFFF804A9800000 │
│ 194 │ NtCreateProcessStateChange                            │ 0xC1  │ 0xFFFFF804A9800000 │
│ 195 │ NtCreateProfile                                       │ 0xC2  │ 0xFFFFF804A9800000 │
│ 196 │ NtCreateProfileEx                                     │ 0xC3  │ 0xFFFFF804A9800000 │
│ 197 │ NtCreateRegistryTransaction                           │ 0xC4  │ 0xFFFFF804A9800000 │
│ 198 │ NtCreateResourceManager                               │ 0xC5  │ 0xFFFFF804A9800000 │
│ 199 │ NtCreateSectionEx                                     │ 0xC6  │ 0xFFFFF804A9800000 │
│ 200 │ NtCreateSemaphore                                     │ 0xC7  │ 0xFFFFF804A9800000 │
│ 201 │ NtCreateSymbolicLinkObject                            │ 0xC8  │ 0xFFFFF804A9800000 │
│ 202 │ NtCreateThreadEx                                      │ 0xC9  │ 0xFFFFF804A9800000 │
│ 203 │ NtCreateThreadStateChange                             │ 0xCA  │ 0xFFFFF804A9800000 │
│ 204 │ NtCreateTimer                                         │ 0xCB  │ 0xFFFFF804A9800000 │
│ 205 │ NtCreateTimer2                                        │ 0xCC  │ 0xFFFFF804A9800000 │
│ 206 │ NtCreateToken                                         │ 0xCD  │ 0xFFFFF804A9800000 │
│ 207 │ NtCreateTokenEx                                       │ 0xCE  │ 0xFFFFF804A9800000 │
│ 208 │ NtCreateTransaction                                   │ 0xCF  │ 0xFFFFF804A9800000 │
│ 209 │ NtCreateTransactionManager                            │ 0xD0  │ 0xFFFFF804A9800000 │
│ 210 │ NtCreateUserProcess                                   │ 0xD1  │ 0xFFFFF804A9800000 │
│ 211 │ NtCreateWaitCompletionPacket                          │ 0xD2  │ 0xFFFFF804A9800000 │
│ 212 │ NtCreateWaitablePort                                  │ 0xD3  │ 0xFFFFF804A9800000 │
│ 213 │ NtCreateWnfStateName                                  │ 0xD4  │ 0xFFFFF804A9800000 │
│ 214 │ NtCreateWorkerFactory                                 │ 0xD5  │ 0xFFFFF804A9800000 │
